(Do Not Modify) Consumer Advisory,(Do Not Modify) Row Checksum,(Do Not Modify) Modified On,Consumer Advisory ID,Title,Consumer Advisory Category,Supply,Start Date and Time,End Date and Time,Status,Redacted
2e1f2821-1cbe-ee11-9079-002248933ae4,vx/wcM8C4QOkU4EWm2Wjozc5D7pDZZ+k7RN0KUYDyRCMqJN9gh2wIJ2nFSc9e97a0nOiz2QQtiwMGL7XItzZ1A==,22/03/2024 1:35,CA-00001519,Boil Water Notice | Owhango Supply,Boil Water,Owhango,29/01/2024 7:00,5/2/24 08:00,Inactive,FALSE
45236f1a-8f8a-ee11-be36-002248930713,G6zuNvXOlAMnMrXEYRERbWb1plfGu/Ey6Xx/OEyiZuQZsGdglBOny7SKWYSNKF11ZrpPgH5dnzzpJggAgxjY1Q==,29/11/2023 20:26,CA-00001490,,Boil Water,Owhango,24/11/2023 18:00,29/11/2023 16:00,Inactive,FALSE
340eb420-b4f5-ec11-82e7-002248934c07,IBBDzxzBTnhiP2RYuV4Z5KuKYi2QzE2hLOOPlWNNKa54TYC0Xa5hU0HrEAgrd0SbhSv+oUnaYYi+gS/K16ATbA==,8/12/22 02:36,CA-00001138,Boil Water advisory Owhango May 2022,Boil Water,Owhango,20/05/2022 7:30,29/06/2022 11:00,Inactive,FALSE
9291b5bc-203a-ee11-bdf4-002248933ae4,7xuKGLzVGMaiK5CqD/h3l/CiwuWZDh8nF5HkDEsKDoS5F2S1UwwAWK/gsgfb+UpV8obOVLLglVesaGrPxPkRlw==,11/3/24 23:18,CA-00001397,Boil Water Advisory | Oxford Rural (McPhedrons Bore),Boil Water,Oxford Rural No.1,10/8/23 20:00,4/10/23 08:00,Inactive,FALSE
2e3193c1-2900-ee11-8f6d-000d3acb5a90,AyCmnxVMRL1AA2HmVBhpsy1XtH+ZEeXWUQtbm/+dcETHhxC/pRBU6l34VTkca8ROFQ1suinQ4rnp4o57Wm4lXA==,13/06/2023 3:05,CA-00001369,Oxford Rural (Waimakariri DC) | Boil Water Advisory,Boil Water,Oxford Rural No.1,2/6/23 05:00,13/06/2023 20:00,Inactive,FALSE
5ac73aae-de97-ee11-be37-002248933ae4,eEQaUFu1602/9Knd4YLiVbusDwHqDsK91LkXnKci2Co11+iaEzPg5905mwkHOcg2a/hETOiYRiqmR05ZUoS0Vw==,8/3/24 02:47,CA-00001501,Boil Water Advisory | Oxford Urban - Rural No. 2,Boil Water,Oxford Urban - Rural No. 2,23/11/2023 8:00,8/12/23 08:00,Inactive,FALSE
c6ba8a1d-9bcf-ee11-9079-002248930713,DfJJRHeq9INVXIsdXBGmblpNd5JXTlgutrTyf+vnSf6dzHJijNoW62DXWNJZ14EC2v0RYgV9QwsriRGlAqgvDA==,28/02/2024 20:27,CA-00001534,Do Not Drink Advisory | Paparimu School,Do Not Drink,Paparimu School,13/02/2024 8:00,26/02/2024 8:00,Inactive,FALSE
1dc8240e-f350-ed11-bba3-002248933ae4,ulnMOdS+nDU5mvzziogs00G+M077Sp4Lf00lVkMiUUIFsvj4uQp6Fy932MgjkHpy2DPKDU6caDo3Bp4tORug1g==,19/12/2022 0:26,CA-00001254,Do not drink advisory Paparimu Primary School,Do Not Drink,Paparimu School,20/10/2022 8:00,27/10/2022 8:00,Inactive,FALSE
2ac1175c-3b0d-ed11-b83d-00224811d0ee,ukBMnjXnPN/DA9B3eTHZV7drPAT6ziNRqFgKAOdah8IiLgkbmlvruleJf4OS1jYCv5OJEEFjoi/gfe5qf0MPdA==,5/12/22 01:56,CA-00001175,Do not drink advice issued for Paparimu Primary School,Do Not Drink,Paparimu School,27/07/2022 8:00,2/8/22 08:00,Inactive,FALSE
021d8953-79f2-ec11-bb3d-002248934a11,dnlzmPtImXVjmPnCr/AkDNFDlhoTFs7S977vIXA8o2JAkKlzDu7PjoBRcCUIUosZ99VgMY4Ca/NWWEsZ29Ks3Q==,5/12/22 01:53,CA-00001132,Do Not Drink advice and notices to staff and pupils of Paparimu Primary School,Do Not Drink,Paparimu School,26/11/2021 8:00,1/12/21 08:00,Inactive,FALSE
9f2b014f-c549-ed11-bba2-002248933ae4,WguMm4jtzvYjbZ30rYFzNB9X8dUO1BTleJ7kg7ZBOfFxqmtF0R0n1cqo7cvTMvpM55XmjCdpNdqVVtYOZ9vEiQ==,27/06/2023 0:45,CA-00001243,Boil water advisory Paparore School - E.coli,Boil Water,Paparore School,13/04/2022 8:00,13/05/2022 8:00,Inactive,FALSE
